canonical_product_id,shop,name,category,group,n_episodes,n_price_states,first_seen,last_seen,promo_hours,median_discount,max_discount,min_price,max_price,observed_hours,promo_days,price_spread_pct
prod_74b2d50e138d2d0a,mvideo,Шина для мотоциклов Anlas Capra-R 100/90-19 57H,прочее,авто и мото,1,1,2026-09-17 14:43:17.133,2026-09-17 16:41:24.853,1.97,20.09,20.09,14784.0,14784.0,1.97,0.08,0.0
prod_754459bb5e9acffc,magnit,"Мороженое Коровка из Кореновки Фисташковое пралине с макаронс и миндалем 15%, 300 г",продукты,мороженое,1,1,2026-09-17 14:43:16.337,2026-09-17 16:41:13.527,1.97,25.0,25.0,449.99,449.99,1.97,0.08,0.0
prod_7b32c23583c4f079,mvideo,Фетальный допплер для беременных домашний,электроника,электроника,1,1,2026-09-17 14:43:17.148,2026-09-17 16:41:24.862,1.97,60.54,60.54,1381.0,1381.0,1.97,0.08,0.0
prod_7d11e51f7aad2c8f,iledebeaute,FLAMINGO BLUSH Набор для макияжа,косметика,декоративная косметика,1,1,2026-09-17 15:05:51.198,2026-09-17 16:36:54.333,1.52,90.0,90.0,499.0,499.0,1.52,0.06,0.0
prod_806189b4ec6b9264,holodilnik,Стиральная машина Candy Aquamatic Evo AQUE 1043D-07,электроника,бытовая техника,1,1,2026-09-17 15:05:39.007,2026-09-17 16:43:32.615,1.63,21.84,21.84,29699.0,29699.0,1.63,0.07,0.0
prod_82bc7653e01f6c78,holodilnik,Стиральная машина Haier HW60-BP12919A,электроника,бытовая техника,1,1,2026-09-17 15:05:39.002,2026-09-17 16:43:32.613,1.63,33.64,33.64,29199.0,29199.0,1.63,0.07,0.0
prod_837c5d0c20295595,iledebeaute,Irresistible Nude Velvet Парфюмерная вода,косметика,парфюмерия,1,1,2026-09-17 15:06:10.751,2026-09-17 16:37:11.758,1.52,29.98,29.98,9579.0,9579.0,1.52,0.06,0.0
prod_8a96220ea04780da,iledebeaute,Lash Power Mascara Тушь для ресниц,косметика,декоративная косметика,1,1,2026-09-17 15:06:23.298,2026-09-17 16:37:21.478,1.52,40.0,40.0,2490.0,2490.0,1.52,0.06,0.0
prod_8bf6bbd403655071,mvideo,Машина отрезная прямая пневматическая Concorde композитная CD-SG20000C,прочее,авто и мото,1,1,2026-09-17 14:43:17.141,2026-09-17 16:41:24.858,1.97,75.13,75.13,2169.0,2169.0,1.97,0.08,0.0
prod_90aa2d1be4893a8f,mvideo,"Противень для духовки MEFERI BT01 65 л 478 x 365 x 31 , глубокий",электроника,бытовая техника,1,1,2026-09-17 14:43:17.129,2026-09-17 16:41:24.851,1.97,25.15,25.15,2399.0,2399.0,1.97,0.08,0.0
prod_9265205e23e5e3e9,iledebeaute,HD SKIN ALL IN ONE Многофункциональная палетка для лица,косметика,декоративная косметика,1,1,2026-09-17 15:05:45.596,2026-09-17 16:36:49.552,1.52,15.01,15.01,7607.0,7607.0,1.52,0.06,0.0
prod_937bca8189695718,lenta,"Гель для душа SOKOLOV Dark Cherry&Almond , 400мл",косметика,уход за телом,1,1,2026-09-17 14:44:19.939,2026-09-17 16:38:05.225,1.9,41.54,41.54,159.99,159.99,1.9,0.08,0.0
prod_948ca9a1e2f772d6,iledebeaute,Вербена Новогодний набор,косметика,подарочные наборы,1,1,2026-09-17 15:06:35.877,2026-09-17 16:37:34.289,1.52,40.05,40.05,1018.0,1018.0,1.52,0.06,0.0
prod_9540ca69ed79ba3c,mvideo,Ходунки для малыша Solmax SM99817,прочее,товары для детей,1,1,2026-09-17 14:43:17.164,2026-09-17 16:41:24.865,1.97,35.06,35.06,4635.0,4635.0,1.97,0.08,0.0
prod_9556119bda12f6fb,holodilnik,Стиральная машина Indesit IWSB 5105,электроника,бытовая техника,1,1,2026-09-17 15:05:38.937,2026-09-17 16:43:32.583,1.63,5.63,5.63,24999.0,24999.0,1.63,0.07,0.0
prod_957e3455206ef383,mvideo,Преобразователь сигнала с высокого уровня на RCA DL Audio Phoenix Sport High Level to RCA Converter 6ch,электроника,электроника,1,1,2026-09-17 14:43:17.136,2026-09-17 16:41:24.854,1.97,8.81,8.81,4076.0,4076.0,1.97,0.08,0.0
prod_9affb241853e49ab,podruzhka,Сыворотка для лица `CELIMAX` с экстрактом нони (питательная) 30 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.610,2026-09-17 16:33:44.878,1.47,82.95,82.95,642.0,642.0,1.47,0.06,0.0
prod_9ba3127f17ea5273,holodilnik,Стиральная машина Candy Smart Pro CSO34 106T1/2-07,электроника,бытовая техника,1,1,2026-09-17 15:05:38.996,2026-09-17 16:43:32.610,1.63,25.48,25.48,23099.0,23099.0,1.63,0.07,0.0
prod_9cc6e469f8f36c55,holodilnik,Стиральная машина LG F2V3GS3W,электроника,бытовая техника,1,1,2026-09-17 15:05:38.972,2026-09-17 16:43:32.591,1.63,17.12,17.12,53783.0,53783.0,1.63,0.07,0.0
prod_9f8be59d8f551795,podruzhka,Крем для лица `DR. ALTHEA` 345 RELIEF успокаивающий с ресвератролом 50 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.618,2026-09-17 16:33:44.881,1.47,18.19,18.19,2829.0,2829.0,1.47,0.06,0.0
prod_a136c0a7fa50949c,holodilnik,Стиральная машина Indesit BWSA 6109 WWV,электроника,бытовая техника,1,1,2026-09-17 15:05:39.014,2026-09-17 15:25:41.634,0.33,1.58,1.58,30499.0,30499.0,0.33,0.01,0.0
prod_a573c16f414bb51e,holodilnik,Стиральная машина Candy Smart Pro CSO4 107TB1/2-07,электроника,бытовая техника,1,1,2026-09-17 15:05:38.956,2026-09-17 16:43:32.588,1.63,12.73,12.73,28799.0,28799.0,1.63,0.07,0.0
prod_a68ca3d4b6d009a6,magnit,"Фитобальзам Чистая линия повышающий упругость тела, 200 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.360,2026-09-17 16:41:13.536,1.97,14.52,14.52,264.99,264.99,1.97,0.08,0.0
prod_a718280b1b4d1084,mvideo,MK3106 Переходник 1/4 DR (квадрат) — 1/4 HEX (шестигранник) (10шт) MKSS,прочее,инструменты,1,1,2026-09-17 14:43:17.144,2026-09-17 16:41:24.860,1.97,9.81,9.81,901.0,901.0,1.97,0.08,0.0
prod_ab32afea7ec88242,iledebeaute,VELVET DANCE Туалетная вода,косметика,парфюмерия,1,1,2026-09-17 15:05:56.631,2026-09-17 16:36:59.354,1.52,20.0,20.0,760.0,760.0,1.52,0.06,0.0
prod_ab4d5c21c5a5bedc,podruzhka,Крем для лица `DR. ALTHEA` 147 BARRIER успокаивающий 50 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,1.47,35.86,35.86,2218.0,2218.0,1.47,0.06,0.0
prod_aba138b9ffa26ebf,mvideo,"Amarancho Гранола без сахара шоколадная с амарантом, 270 гр",продукты,снеки и сухие завтраки,1,1,2026-09-17 14:43:17.167,2026-09-17 16:41:24.866,1.97,4.29,4.29,469.0,469.0,1.97,0.08,0.0
prod_ad82533ff733df92,iledebeaute,Vita C Plus Маска для лица тканевая с липосомальным витамином С для сияния кожи и борьбы с пигментацией,косметика,уход за лицом,1,1,2026-09-17 15:06:16.207,2026-09-17 16:37:16.636,1.52,36.09,36.09,441.0,441.0,1.52,0.06,0.0
prod_af7525fc331e0488,holodilnik,Стиральная машина Gressel UBC301 серый,электроника,бытовая техника,1,1,2026-09-17 15:05:38.998,2026-09-17 16:43:32.611,1.63,39.06,39.06,23299.0,23299.0,1.63,0.07,0.0
prod_b12b5621b7e3f2e3,mvideo,Шина для мотоциклов CST CM742 140/80 R18 70M (Задняя),прочее,авто и мото,1,1,2026-09-17 14:43:17.134,2026-09-17 16:41:24.854,1.97,21.28,21.28,3936.0,3936.0,1.97,0.08,0.0
prod_b24e820895125a81,mvideo,"Amarancho Амарантовая мука без глютена для выпечки, 400 гр",продукты,снеки и сухие завтраки,1,1,2026-09-17 14:43:17.170,2026-09-17 16:41:24.867,1.97,4.29,4.29,335.0,335.0,1.97,0.08,0.0
prod_b3d62f832d62098d,magnit,"Скраб для тела Черный жемчуг Идеальная кожа, 200 мл",косметика,уход за телом,1,1,2026-09-17 14:43:16.363,2026-09-17 15:03:19.686,0.33,26.42,26.42,389.99,389.99,0.33,0.01,0.0
