canonical_product_id,shop,episode_id,name,category,group,n_price_states,started_at,ended_at,median_discount,max_discount,min_price,max_price,duration_hours,duration_days,price_changed
prod_aba138b9ffa26ebf,mvideo,89,"Amarancho Гранола без сахара шоколадная с амарантом, 270 гр",продукты,снеки и сухие завтраки,1,2026-09-17 14:43:17.167,2026-09-17 16:41:24.866,4.285714285714281,4.285714285714281,469.0,469.0,1.97,0.08,False
prod_b24e820895125a81,mvideo,93,"Amarancho Амарантовая мука без глютена для выпечки, 400 гр",продукты,снеки и сухие завтраки,1,2026-09-17 14:43:17.170,2026-09-17 16:41:24.867,4.285714285714281,4.285714285714281,335.0,335.0,1.97,0.08,False
prod_15734fa5f632edae,mvideo,9,Шнек (300х800 мм) для бензобура Gigant 12-010,прочее,авто и мото,1,2026-09-17 14:43:17.178,2026-09-17 16:41:24.868,23.200064355240933,23.200064355240933,9547.0,9547.0,1.97,0.08,False
prod_04b19f1beb03ccbb,podruzhka,3,"Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)",косметика,декоративная косметика,1,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,55.787476280834916,55.787476280834916,233.0,233.0,1.47,0.06,False
prod_37c024a322f359f8,podruzhka,25,Сыворотка для кожи вокруг глаз `AXIS-Y` с гиалуроновой кислотой и комплексом пептидов 10 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,57.12204007285975,57.12204007285975,1177.0,1177.0,1.47,0.06,False
prod_9affb241853e49ab,podruzhka,79,Сыворотка для лица `CELIMAX` с экстрактом нони (питательная) 30 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.610,2026-09-17 16:33:44.878,82.94820717131475,82.94820717131475,642.0,642.0,1.47,0.06,False
prod_206d158aa149d5f8,podruzhka,16,Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт,косметика,уход за лицом,1,2026-09-17 15:05:41.613,2026-09-17 16:33:44.879,15.00634517766497,15.00634517766497,2679.0,2679.0,1.47,0.06,False
prod_6fe50946c0cfb29b,podruzhka,62,Гель-ламинатор для бровей `LUXVISAGE` BROW LAMINATOR суперсильной фиксации тон Бесцветный,косметика,декоративная косметика,1,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,45.01216545012166,45.01216545012166,226.0,226.0,1.47,0.06,False
prod_ab4d5c21c5a5bedc,podruzhka,88,Крем для лица `DR. ALTHEA` 147 BARRIER успокаивающий 50 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,35.85887796414112,35.85887796414112,2218.0,2218.0,1.47,0.06,False
prod_0d2ec11672692d85,podruzhka,6,Мицеллярная вода `EVELINE` FACEMED+ 3 в 1 гиалуроновая 750 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.615,2026-09-17 16:33:44.880,35.01400560224089,35.01400560224089,464.0,464.0,1.47,0.06,False
prod_4332e8cee8b3ede7,podruzhka,34,Ампула для лица `COSNORI` PANTHE-SHOT 675 с пантенолом и микроиглами 50 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.617,2026-09-17 16:33:44.881,40.0,40.0,1674.0,1674.0,1.47,0.06,False
prod_9f8be59d8f551795,podruzhka,82,Крем для лица `DR. ALTHEA` 345 RELIEF успокаивающий с ресвератролом 50 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.618,2026-09-17 16:33:44.881,18.1897050318103,18.1897050318103,2829.0,2829.0,1.47,0.06,False
prod_115fd3949eb2ff10,podruzhka,7,Сыворотка для лица `CELIMAX` THE VITA A с ретинолом и микроиглами (подтягивающая) 30 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.619,2026-09-17 16:33:44.881,62.67558528428094,62.67558528428094,1116.0,1116.0,1.47,0.06,False
prod_06dce203f1fba742,podruzhka,4,Тонер для лица `CELIMAX` DUAL BARRIER кремовый с комплексом керамидов (укрепляющий и питательный) 150 мл,косметика,уход за лицом,1,2026-09-17 15:05:41.620,2026-09-17 16:33:44.882,53.54330708661416,53.54330708661416,1180.0,1180.0,1.47,0.06,False
prod_6e4f288a9869d9a2,podruzhka,58,Сыворотка для лица `DR. ALTHEA` SKIN RELIEF ESSENCE успокаивающая против несовершенств 30 мл,косметика,уход за лицом,1,2026-09-17 15:05:45.832,2026-09-17 16:33:47.595,26.050420168067223,26.050420168067223,1320.0,1320.0,1.47,0.06,False
prod_2eca1dfabfaa0852,podruzhka,21,Пудра для лица `MIXIT` MINERAL POWDER фиксирующая минеральная,косметика,декоративная косметика,1,2026-09-17 15:05:45.833,2026-09-17 16:33:47.595,53.885480572597146,53.885480572597146,451.0,451.0,1.47,0.06,False
prod_3c135266f5461fc2,podruzhka,30,Пенка для умывания `CELIMAX` слабокислотная 150 мл,косметика,уход за лицом,1,2026-09-17 15:05:45.834,2026-09-17 16:33:47.596,68.14606741573034,68.14606741573034,567.0,567.0,1.47,0.06,False
prod_15d9f45dda95469f,podruzhka,10,Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл,косметика,уход за лицом,1,2026-09-17 15:05:45.835,2026-09-17 16:33:47.596,46.6542750929368,46.6542750929368,287.0,287.0,1.47,0.06,False
prod_648d04b3570c1067,podruzhka,54,Крем-спрей для волос `MIXIT` RE:START многофункциональный 15в1 250 мл,косметика,уход за волосами,1,2026-09-17 15:05:45.837,2026-09-17 16:33:47.596,48.67424242424242,48.67424242424242,271.0,271.0,1.47,0.06,False
prod_3d7726d106d507bd,podruzhka,31,Крем для лица `NSC` ниацинамид глубокое восстановление и сияние кожи с витамином C 120 мл,косметика,уход за лицом,1,2026-09-17 15:05:45.838,2026-09-17 16:33:47.597,38.144329896907216,38.144329896907216,420.0,420.0,1.47,0.06,False
