canonical_product_id,name,shop,category,group,episode_id,first_seen,last_seen,duration_hours,n_obs,original_price,promotion_price,discount_pct,saving
prod_6f685630f66e9218,Погремушка ND Play Веселый кролик NDT-004,mvideo,прочее,товары для детей,60,2026-09-17 14:43:17.124,2026-09-17 16:41:24.849,1.97,7,860.0,824.0,4.19,36.0
prod_74b2d50e138d2d0a,Шина для мотоциклов Anlas Capra-R 100/90-19 57H,mvideo,прочее,авто и мото,63,2026-09-17 14:43:17.133,2026-09-17 16:41:24.853,1.97,7,18500.0,14784.0,20.09,3716.0
prod_7b32c23583c4f079,Фетальный допплер для беременных домашний,mvideo,электроника,электроника,65,2026-09-17 14:43:17.148,2026-09-17 16:41:24.862,1.97,7,3500.0,1381.0,60.54,2119.0
prod_8bf6bbd403655071,Машина отрезная прямая пневматическая Concorde композитная CD-SG20000C,mvideo,прочее,авто и мото,71,2026-09-17 14:43:17.141,2026-09-17 16:41:24.858,1.97,7,8722.0,2169.0,75.13,6553.0
prod_90aa2d1be4893a8f,"Противень для духовки MEFERI BT01 65 л 478 x 365 x 31 , глубокий",mvideo,электроника,бытовая техника,72,2026-09-17 14:43:17.129,2026-09-17 16:41:24.851,1.97,7,3205.0,2399.0,25.15,806.0
prod_9540ca69ed79ba3c,Ходунки для малыша Solmax SM99817,mvideo,прочее,товары для детей,76,2026-09-17 14:43:17.164,2026-09-17 16:41:24.865,1.97,7,7137.0,4635.0,35.06,2502.0
prod_957e3455206ef383,Преобразователь сигнала с высокого уровня на RCA DL Audio Phoenix Sport High Level to RCA Converter 6ch,mvideo,электроника,электроника,78,2026-09-17 14:43:17.136,2026-09-17 16:41:24.854,1.97,7,4470.0,4076.0,8.81,394.0
prod_a718280b1b4d1084,MK3106 Переходник 1/4 DR (квадрат) — 1/4 HEX (шестигранник) (10шт) MKSS,mvideo,прочее,инструменты,86,2026-09-17 14:43:17.144,2026-09-17 16:41:24.860,1.97,7,999.0,901.0,9.81,98.0
prod_aba138b9ffa26ebf,"Amarancho Гранола без сахара шоколадная с амарантом, 270 гр",mvideo,продукты,снеки и сухие завтраки,89,2026-09-17 14:43:17.167,2026-09-17 16:41:24.866,1.97,7,490.0,469.0,4.29,21.0
prod_b12b5621b7e3f2e3,Шина для мотоциклов CST CM742 140/80 R18 70M (Задняя),mvideo,прочее,авто и мото,92,2026-09-17 14:43:17.134,2026-09-17 16:41:24.854,1.97,7,5000.0,3936.0,21.28,1064.0
prod_b24e820895125a81,"Amarancho Амарантовая мука без глютена для выпечки, 400 гр",mvideo,продукты,снеки и сухие завтраки,93,2026-09-17 14:43:17.170,2026-09-17 16:41:24.867,1.97,7,350.0,335.0,4.29,15.0
prod_04b19f1beb03ccbb,"Тушь для ресниц `LUXVISAGE` XXL суперобъем, эффект накладных ресниц (черная)",podruzhka,косметика,декоративная косметика,3,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,1.47,4,527.0,233.0,55.79,294.0
prod_06dce203f1fba742,Тонер для лица `CELIMAX` DUAL BARRIER кремовый с комплексом керамидов (укрепляющий и питательный) 150 мл,podruzhka,косметика,уход за лицом,4,2026-09-17 15:05:41.620,2026-09-17 16:33:44.882,1.47,4,2540.0,1180.0,53.54,1360.0
prod_0d2ec11672692d85,Мицеллярная вода `EVELINE` FACEMED+ 3 в 1 гиалуроновая 750 мл,podruzhka,косметика,уход за лицом,6,2026-09-17 15:05:41.615,2026-09-17 16:33:44.880,1.47,4,714.0,464.0,35.01,250.0
prod_115fd3949eb2ff10,Сыворотка для лица `CELIMAX` THE VITA A с ретинолом и микроиглами (подтягивающая) 30 мл,podruzhka,косметика,уход за лицом,7,2026-09-17 15:05:41.619,2026-09-17 16:33:44.881,1.47,4,2990.0,1116.0,62.68,1874.0
prod_15d9f45dda95469f,Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл,podruzhka,косметика,уход за лицом,10,2026-09-17 15:05:45.835,2026-09-17 16:33:47.596,1.47,4,538.0,287.0,46.65,251.0
prod_206d158aa149d5f8,Тонер-пэды для лица `DR. ALTHEA` ANASTATICA SKIN CONDITIONING PAD увлажняющие с экстрактом иерихонской розы 65 шт,podruzhka,косметика,уход за лицом,16,2026-09-17 15:05:41.613,2026-09-17 16:33:44.879,1.47,4,3152.0,2679.0,15.01,473.0
prod_2eca1dfabfaa0852,Пудра для лица `MIXIT` MINERAL POWDER фиксирующая минеральная,podruzhka,косметика,декоративная косметика,21,2026-09-17 15:05:45.833,2026-09-17 16:33:47.595,1.47,4,978.0,451.0,53.89,527.0
prod_37c024a322f359f8,Сыворотка для кожи вокруг глаз `AXIS-Y` с гиалуроновой кислотой и комплексом пептидов 10 мл,podruzhka,косметика,уход за лицом,25,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,1.47,4,2745.0,1177.0,57.12,1568.0
prod_3c135266f5461fc2,Пенка для умывания `CELIMAX` слабокислотная 150 мл,podruzhka,косметика,уход за лицом,30,2026-09-17 15:05:45.834,2026-09-17 16:33:47.596,1.47,4,1780.0,567.0,68.15,1213.0
prod_3d7726d106d507bd,Крем для лица `NSC` ниацинамид глубокое восстановление и сияние кожи с витамином C 120 мл,podruzhka,косметика,уход за лицом,31,2026-09-17 15:05:45.838,2026-09-17 16:33:47.597,1.47,4,679.0,420.0,38.14,259.0
prod_4332e8cee8b3ede7,Ампула для лица `COSNORI` PANTHE-SHOT 675 с пантенолом и микроиглами 50 мл,podruzhka,косметика,уход за лицом,34,2026-09-17 15:05:41.617,2026-09-17 16:33:44.881,1.47,4,2790.0,1674.0,40.0,1116.0
prod_648d04b3570c1067,Крем-спрей для волос `MIXIT` RE:START многофункциональный 15в1 250 мл,podruzhka,косметика,уход за волосами,54,2026-09-17 15:05:45.837,2026-09-17 16:33:47.596,1.47,4,528.0,271.0,48.67,257.0
prod_6e4f288a9869d9a2,Сыворотка для лица `DR. ALTHEA` SKIN RELIEF ESSENCE успокаивающая против несовершенств 30 мл,podruzhka,косметика,уход за лицом,58,2026-09-17 15:05:45.832,2026-09-17 16:33:47.595,1.47,4,1785.0,1320.0,26.05,465.0
prod_6fe50946c0cfb29b,Гель-ламинатор для бровей `LUXVISAGE` BROW LAMINATOR суперсильной фиксации тон Бесцветный,podruzhka,косметика,декоративная косметика,62,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,1.47,4,411.0,226.0,45.01,185.0
prod_9affb241853e49ab,Сыворотка для лица `CELIMAX` с экстрактом нони (питательная) 30 мл,podruzhka,косметика,уход за лицом,79,2026-09-17 15:05:41.610,2026-09-17 16:33:44.878,1.47,4,3765.0,642.0,82.95,3123.0
prod_9f8be59d8f551795,Крем для лица `DR. ALTHEA` 345 RELIEF успокаивающий с ресвератролом 50 мл,podruzhka,косметика,уход за лицом,82,2026-09-17 15:05:41.618,2026-09-17 16:33:44.881,1.47,4,3458.0,2829.0,18.19,629.0
prod_ab4d5c21c5a5bedc,Крем для лица `DR. ALTHEA` 147 BARRIER успокаивающий 50 мл,podruzhka,косметика,уход за лицом,88,2026-09-17 15:05:41.614,2026-09-17 16:33:44.880,1.47,4,3458.0,2218.0,35.86,1240.0
